Central ,Population (000) Male,Population (000) Female,No of,Growth Rate,Pop. Density,Urbanisation level,Average Household size
Buikwe,329.9,422.8,97933,2.1,350,49.3,4.2
Bukomansimbi,139.6,151.4,34335,0.7,252,8.5,4.4
Butambala,86.8,100.8,21601,1.3,249,15.1,4.6
Buvuma,42.5,89.9,25184,6.3,305,11.1,3.4
Gomba,133.3,159.9,35285,1.5,96,7.8,4.5
Kalangala,34.8,54.3,20100,3.7,120,9.2,2.5
Kalungu,160.7,183.2,41437,1.1,225,4.4,4.3
Kampala,1189.1,1507.1,416070,2,7928,100,3.5
Kayunga,294.6,368.1,76073,1.9,231,7.4,4.8
Kiboga,108.9,148.2,34072,2.6,93,22.6,4.2
Kyakwanzi,120.6,214.7,47771,4.8,87,11.4,4.5
Luwero,341.3,457,105346,2.4,206,20.9,4.2
Lwengo,242.3,275,61800,1.1,268,15.6,4.4
Lyantonde ,66,93.8,20639,2.9,106,14.7,4.5
Masaka,228.2,297,75765,2.2,256,34.8,3.8
Mityana,266.1,329.6,80087,1.8,216,32.9,4
Mpigi,187.8,250.5,60511,2.4,208,17.3,4
Mubende,423.4,684.3,151277,4,149,16.4,4.4
Mukono,423.1,596.8,144632,2.9,326,27.3,4
Nakaseke,137.3,197.4,43167,3,57,20,4.2
Nakasongola,127.1,181.8,36378,3,55,10.4,4.9
Rakai,404.3,516.3,116492,2,159,6.6,4.4
Ssembabule,180,252.6,55185,2.8,109,6.7,4.5
Wakiso,908,1997.4,502089,6.6,1060,59.2,3.9
Amuria,180,270.9,48317,3.4,105,6.4,5.6
Budaka,136.5,207.6,37122,3.5,506,11.5,5.6
Bududa,123.1,210.2,36824,4.5,662,6.6,5.7
Bugiri,266.9,382.9,74511,3,368,16.8,5.1
Bukedea,122.4,203.6,36304,4.3,197,5.4,5.6
Bukwo,49,89.4,16638,5,170,13.5,5.3
Bulambuli,97.3,174.5,34038,4.9,251,9.7,5.1
Busia,225,323.7,64788,3,440,16.9,4.9
Butaleja,157.5,244.2,44376,3.7,373,13.6,5.5
Buyende,191.3,323.1,61228,4.4,234,7.2,5.3
Iganga,355.5,504.2,102672,2.9,495,18.4,4.9
Jinja,387.6,471.2,105463,1.6,694,36.6,4.4
Kaberamaido,131.7,215,38797,4.1,160,1.9,5.5
Kaliro,154.7,236.2,42935,3.5,303,7.1,5.5
Kamuli,361.4,486.7,93998,2.5,321,12.3,5.1
Kapchorwa,74.3,105.2,21512,2.9,297,12.8,4.8
Katakwi,118.9,166.2,30766,2.8,72,5.6,5.3
Kibuku,128.2,202,35468,3.8,418,8.6,5.7
Kumi,165.4,239.3,40804,3.1,238,15.3,5.8
Kween,67.2,93.7,17852,2.8,110,6.9,5.2
Luuka,185.5,238,44371,2.1,366,4.3,5.4
Manafwa,262.6,353.8,72903,2.5,661,14.5,4.8
Mayuge,324.7,473.2,95282,3.1,440,7.1,4.9
Mbale,332.6,489,108538,3.2,943,25.2,4.4
Namayingo,145.5,215.4,42970,3.3,367,7.3,5
Namutumba,167.7,252.6,45323,3.4,311,7.4,5.6
Ngora,101.9,141.9,23648,2.8,222,10.7,5.9
Pallisa,255.9,386.9,65764,3.5,375,9.8,5.8
Serere,176.5,285.9,47676,4,191,4.3,5.9
Sironko,185.8,242.4,55026,2.2,601,14.1,4.4
Soroti,193.3,296.8,54946,3.6,217,16.7,5.3
Tororo,379.4,517.1,102634,2.6,433,14,5
Abim,51.8,108,18081,6.1,46,15.9,5.9
Adjumani,202.3,225.3,41159,0.9,76,17.9,5.4
Agago,184,227.8,43354,1.8,65,12.7,5.2
Alebtong,163,227.5,46258,2.8,148,2.9,4.9
Amolatar,96.2,147.2,27983,3.6,127,14.7,5.2
Amudat,63.6,105.8,15496,4.3,65,11.1,6.2
Amuru,135.7,186.7,36702,2.7,52,5,5
Apac,249.7,368.6,71655,3.3,125,6.1,5.1
Arua,559.1,782.1,146675,2.8,180,7.9,5.3
Dokolo,129.4,183.1,34882,2.9,182,11,5.2
Gulu,298.5,436.3,86924,3.2,127,34.3,4.9
Kaabong,202.8,167.9,29210,-1.6,23,6.9,5.7
Kitgum,167,204,39688,1.7,51,37,5.1
Koboko,129.1,206.5,30290,3.9,271,28,6.8
Kole,165.9,239.3,48426,3.1,223,3.7,4.9
Kotido,122.5,181.1,26170,3.3,50,7.7,6.5
Lamwo,115.3,134.4,27251,1.3,24,16.2,4.9
Lira,290.6,408,89133,2.8,307,24.8,4.5
Maracha,145.7,186.1,36263,2,423,5,5.1
Moroto,77.2,103.4,22067,2.4,29,13.7,4.4
Moyo,194.8,139,25872,-2.8,73,7.6,5.3
Nakapiripirit,90.9,156.7,25400,4.6,37,2.4,5.8
Napak,112.7,142.2,26857,1.9,29,3.3,5.3
Nebbi,266.3,396.8,77397,3.3,207,14.6,5.1
Nwoya,41,133.5,26230,9.9,29,10.2,5
Otuke,62,104.3,21955,4.3,67,6,4.7
Oyam,268.4,383.6,76493,3,175,4.8,5
Pader,142.3,178,34160,1.9,54,7.5,5.2
Yumbe,251.8,484.8,63362,5.5,209,7.2,7.6
Zombo,169,240.1,50869,2.9,255,18.6,4.7
Buhweju,82.9,120.7,24845,3.1,161,2.4,4.8
Buliisa,63.4,113.2,21652,4.8,102,6.4,5
Bundibugyo,158.9,224.4,44818,2.9,264,15.9,5
Bushenyi,205.7,234.4,51378,1.1,277,20.4,4.5
Hoima,343.6,573,125554,4.3,156,18.5,4.5
Ibanda,198.6,249.6,55006,1.9,257,25.9,4.4
Isingiro,316,486.4,101590,3.6,186,11.4,4.8
Kabale,458.3,528.2,117854,1.2,314,14.4,4.4
Kabarole,356.9,469.2,107260,2.3,259,26,4.3
Kamwenge,263.7,414.5,88686,3.8,177,5.5,4.6
Kanungu,204.7,252.1,55975,1.7,198,20.3,4.5
Kasese,523,695,139066,2.4,236,17.4,5
Kibaale,405.9,785.1,168322,5.5,185,7.9,4.6
Kiruhura,212.2,328.1,67224,3.6,72,9.5,4.8
Kiryandongo,187.7,266.2,52158,2.9,74,20.9,5.1
Kisoro,220.3,281.7,62247,2.1,402,9,4.5
Kyegegwa,110.9,281.6,60061,7.8,161,9.3,4.7
Kyenjojo,266.2,422.2,91534,3.9,179,15.4,4.6
Masindi,208.4,291.1,64935,2.8,74,32.4,4.3
Mbarara,361.5,472.6,112849,2.2,265,41.3,4.1
Mitooma,160.8,183.4,39816,1.1,337,6.2,4.6
Ntoroko,51.1,67,13942,2.3,54,35.5,4.8
Ntungamo,380,483.8,101796,2,236,12.5,4.7
Rubirizi,101.8,129.1,28789,2,118,13.3,4.4
Rukungiri,275.2,314.7,69497,1.1,219,13.9,4.5
Sheema,180.2,207.3,46048,1.2,297,13.3,4.4
